customer_id,gender,age,annual_income,spending_score,member_tier,visit_frequency,preferred_category,total_visits_last_year,total_spent_last_year,email,phone,address_district,signup_date,last_visit_date
"CUST000039","Male","26","51208","4","Silver","Quarterly","Fashion","8","6555","customer39@example.com","13800000039","Xuhui","2024-07-16","2026-03-12"
"CUST000040","Female","29","122277","2","Gold","Biweekly","Fashion","33","32281","customer40@example.com","13800000040","Minhang","2024-01-18","2026-02-15"
"CUST000041","Male","26","83710","3","Gold","Quarterly","Sports & Outdoors","8","8036","customer41@example.com","13800000041","Xuhui","2023-11-25","2026-03-13"
"CUST000042","Female","43","80066","1","Gold","Biweekly","Sports & Outdoors","32","10248","customer42@example.com","13800000042","Changning","2023-02-10","2026-02-18"
"CUST000043","Male","26","57802","5","Silver","Quarterly","Books & Stationery","6","6936","customer43@example.com","13800000043","Huangpu","2025-11-26","2026-03-10"
"CUST000044","Male","23","34462","3","Bronze","Quarterly","Electronics","8","3308","customer44@example.com","13800000044","Minhang","2023-04-25","2026-02-24"
"CUST000045","Male","20","81304","4","Silver","Monthly","Sports & Outdoors","17","22115","customer45@example.com","13800000045","Changning","2025-08-14","2026-02-26"
"CUST000046","Male","36","33282","2","Platinum","Monthly","Food & Dining","12","3195","customer46@example.com","13800000046","Pudong","2025-08-27","2026-03-01"
"CUST000047","Male","30","61538","1","Platinum","Biweekly","Fashion","27","6646","customer47@example.com","13800000047","Jingan","2024-01-17","2026-02-27"
"CUST000048","Male","29","106327","5","Gold","Monthly","Beauty & Cosmetics","13","27645","customer48@example.com","13800000048","Jingan","2024-03-09","2026-03-06"
"CUST000049","Male","56","81353","5","Gold","Weekly","Fashion","79","128538","customer49@example.com","13800000049","Huangpu","2025-02-13","2026-02-16"
"CUST000050","Female","39","98764","2","Platinum","Quarterly","Fashion","7","5531","customer50@example.com","13800000050","Minhang","2023-04-10","2026-02-15"
"CUST000051","Female","26","42332","2","Platinum","Weekly","Sports & Outdoors","58","19642","customer51@example.com","13800000051","Changning","2024-12-20","2026-03-04"
"CUST000052","Female","41","29836","1","Silver","Monthly","Sports & Outdoors","13","1551","customer52@example.com","13800000052","Xuhui","2025-12-15","2026-02-26"
"CUST000053","Male","31","45710","1","Gold","Monthly","Fashion","10","1828","customer53@example.com","13800000053","Pudong","2023-07-10","2026-02-27"
"CUST000054","Male","42","90943","3","Gold","Biweekly","Electronics","23","25100","customer54@example.com","13800000054","Pudong","2024-02-03","2026-03-11"
"CUST000055","Male","57","254468","3","Bronze","Quarterly","Home & Living","5","15268","customer55@example.com","13800000055","Minhang","2024-04-09","2026-03-08"
"CUST000056","Male","55","31717","4","Gold","Monthly","Sports & Outdoors","19","9642","customer56@example.com","13800000056","Minhang","2024-09-11","2026-03-04"
"CUST000057","Female","29","44357","3","Platinum","Biweekly","Entertainment","40","21291","customer57@example.com","13800000057","Minhang","2023-01-16","2026-03-04"
"CUST000058","Male","24","63152","1","Gold","Monthly","Books & Stationery","18","4547","customer58@example.com","13800000058","Jingan","2024-09-10","2026-02-13"
"CUST000059","Male","29","52782","1","Gold","Weekly","Sports & Outdoors","58","12245","customer59@example.com","13800000059","Changning","2025-06-08","2026-03-09"
"CUST000060","Male","22","29055","5","Bronze","Quarterly","Electronics","5","2906","customer60@example.com","13800000060","Huangpu","2023-08-07","2026-03-13"
"CUST000061","Male","46","39691","1","Bronze","Quarterly","Beauty & Cosmetics","7","1111","customer61@example.com","13800000061","Xuhui","2025-12-21","2026-02-21"
"CUST000062","Male","54","94747","1","Silver","Biweekly","Books & Stationery","22","8338","customer62@example.com","13800000062","Minhang","2025-01-01","2026-03-05"
"CUST000063","Male","21","40802","1","Silver","Biweekly","Beauty & Cosmetics","22","3591","customer63@example.com","13800000063","Changning","2023-02-22","2026-02-20"
"CUST000064","Female","31","232044","3","Gold","Monthly","Food & Dining","17","47337","customer64@example.com","13800000064","Pudong","2023-03-07","2026-03-08"
"CUST000065","Male","29","32770","1","Silver","Biweekly","Sports & Outdoors","28","3670","customer65@example.com","13800000065","Xuhui","2024-12-17","2026-02-19"
"CUST000066","Female","57","62179","5","Bronze","Monthly","Food & Dining","12","14923","customer66@example.com","13800000066","Pudong","2024-12-18","2026-03-14"
"CUST000067","Male","38","21103","5","Bronze","Quarterly","Books & Stationery","5","2110","customer67@example.com","13800000067","Changning","2023-02-26","2026-02-15"
"CUST000068","Female","44","68774","1","Bronze","Quarterly","Books & Stationery","6","1651","customer68@example.com","13800000068","Jingan","2025-06-11","2026-02-26"
"CUST000069","Female","51","97805","4","Silver","Monthly","Entertainment","20","31298","customer69@example.com","13800000069","Changning","2025-10-19","2026-02-14"
"CUST000070","Male","52","105134","5","Bronze","Quarterly","Electronics","8","16821","customer70@example.com","13800000070","Xuhui","2023-05-19","2026-03-01"
"CUST000071","Female","20","104749","4","Platinum","Weekly","Beauty & Cosmetics","58","97207","customer71@example.com","13800000071","Changning","2025-05-19","2026-03-01"
"CUST000072","Female","60","54052","5","Silver","Quarterly","Beauty & Cosmetics","4","4324","customer72@example.com","13800000072","Jingan","2024-03-22","2026-02-25"
"CUST000073","Female","21","121103","4","Gold","Monthly","Home & Living","20","38753","customer73@example.com","13800000073","Xuhui","2024-01-23","2026-03-02"
"CUST000074","Female","59","26282","4","Gold","Biweekly","Home & Living","33","13877","customer74@example.com","13800000074","Minhang","2023-09-23","2026-03-12"
"CUST000075","Male","33","71090","1","Platinum","Biweekly","Home & Living","30","8531","customer75@example.com","13800000075","Minhang","2025-12-01","2026-02-18"
"CUST000076","Female","55","103280","5","Bronze","Rarely","Home & Living","2","4131","customer76@example.com","13800000076","Xuhui","2024-01-02","2026-02-17"
"CUST000077","Female","57","139709","1","Bronze","Weekly","Books & Stationery","43","24030","customer77@example.com","13800000077","Minhang","2023-10-14","2026-02-18"
"CUST000078","Male","21","86495","2","Platinum","Quarterly","Home & Living","4","2768","customer78@example.com","13800000078","Xuhui","2024-05-19","2026-03-11"
"CUST000079","Female","40","146459","5","Platinum","Biweekly","Fashion","39","114238","customer79@example.com","13800000079","Xuhui","2025-01-19","2026-02-19"
"CUST000080","Female","21","48683","2","Bronze","Rarely","Home & Living","2","779","customer80@example.com","13800000080","Minhang","2024-05-23","2026-02-23"
"CUST000081","Male","50","29126","4","Gold","Biweekly","Entertainment","27","12582","customer81@example.com","13800000081","Pudong","2025-02-17","2026-02-21"
"CUST000082","Female","39","91937","3","Silver","Monthly","Entertainment","12","13239","customer82@example.com","13800000082","Huangpu","2025-09-19","2026-03-09"
"CUST000083","Male","32","57493","2","Platinum","Quarterly","Food & Dining","6","2760","customer83@example.com","13800000083","Changning","2025-04-01","2026-02-22"
"CUST000084","Male","31","52170","3","Gold","Quarterly","Food & Dining","4","2504","customer84@example.com","13800000084","Changning","2025-12-02","2026-02-21"
"CUST000085","Male","42","54353","4","Silver","Quarterly","Electronics","7","6088","customer85@example.com","13800000085","Xuhui","2024-02-23","2026-03-06"
"CUST000086","Female","60","85431","3","Bronze","Weekly","Home & Living","62","63561","customer86@example.com","13800000086","Pudong","2025-03-16","2026-03-11"
"CUST000087","Female","63","35454","5","Bronze","Quarterly","Sports & Outdoors","6","4254","customer87@example.com","13800000087","Xuhui","2025-04-06","2026-02-21"
"CUST000088","Female","38","20432","5","Platinum","Weekly","Sports & Outdoors","53","21658","customer88@example.com","13800000088","Jingan","2025-09-15","2026-02-23"
"CUST000089","Male","28","89630","5","Silver","Weekly","Books & Stationery","45","80667","customer89@example.com","13800000089","Changning","2025-08-26","2026-02-18"
"CUST000090","Female","18","133055","5","Silver","Rarely","Fashion","2","5322","customer90@example.com","13800000090","Minhang","2025-06-03","2026-03-06"
"CUST000091","Female","33","48963","3","Silver","Weekly","Entertainment","57","33491","customer91@example.com","13800000091","Changning","2024-07-05","2026-02-16"
"CUST000092","Male","41","98537","1","Silver","Weekly","Entertainment","79","31138","customer92@example.com","13800000092","Xuhui","2023-06-03","2026-03-07"
"CUST000093","Male","18","135668","5","Gold","Rarely","Sports & Outdoors","3","8140","customer93@example.com","13800000093","Huangpu","2023-03-19","2026-03-02"
"CUST000094","Male","66","79325","5","Platinum","Quarterly","Home & Living","6","9519","customer94@example.com","13800000094","Huangpu","2025-07-28","2026-02-24"
"CUST000095","Female","40","53941","1","Bronze","Rarely","Home & Living","2","432","customer95@example.com","13800000095","Changning","2025-07-02","2026-03-13"
"CUST000096","Female","39","71366","1","Platinum","Biweekly","Beauty & Cosmetics","33","9420","customer96@example.com","13800000096","Pudong","2025-03-22","2026-03-03"
"CUST000097","Male","33","80449","2","Platinum","Weekly","Books & Stationery","63","40546","customer97@example.com","13800000097","Minhang","2023-07-20","2026-02-22"
"CUST000098","Male","57","65380","4","Silver","Monthly","Food & Dining","12","12553","customer98@example.com","13800000098","Huangpu","2024-02-27","2026-03-03"
"CUST000099","Female","34","79537","2","Silver","Rarely","Beauty & Cosmetics","2","1273","customer99@example.com","13800000099","Pudong","2025-02-14","2026-02-26"
"CUST000100","Male","44","157834","3","Gold","Weekly","Food & Dining","49","92806","customer100@example.com","13800000100","Xuhui","2024-01-02","2026-03-09"
"CUST000101","Female","24","65089","2","Platinum","Monthly","Food & Dining","12","6249","customer101@example.com","13800000101","Jingan","2024-11-25","2026-03-08"
"CUST000102","Male","18","197030","4","Gold","Biweekly","Entertainment","20","63050","customer102@example.com","13800000102","Minhang","2023-02-08","2026-02-22"
"CUST000103","Female","61","122296","4","Platinum","Biweekly","Entertainment","30","58702","customer103@example.com","13800000103","Changning","2025-07-25","2026-02-21"
"CUST000104","Male","26","50441","2","Platinum","Monthly","Electronics","11","4439","customer104@example.com","13800000104","Minhang","2024-05-06","2026-02-13"
"CUST000105","Male","39","260560","3","Platinum","Monthly","Sports & Outdoors","10","31267","customer105@example.com","13800000105","Pudong","2023-02-14","2026-03-10"
"CUST000106","Female","29","89851","5","Bronze","Monthly","Sports & Outdoors","11","19767","customer106@example.com","13800000106","Minhang","2025-11-16","2026-03-05"
"CUST000107","Female","34","139634","4","Bronze","Monthly","Books & Stationery","11","24576","customer107@example.com","13800000107","Jingan","2024-06-21","2026-02-19"
"CUST000108","Male","41","158687","5","Gold","Quarterly","Sports & Outdoors","5","15869","customer108@example.com","13800000108","Jingan","2024-05-19","2026-03-01"
"CUST000109","Female","40","70270","3","Bronze","Quarterly","Home & Living","7","5903","customer109@example.com","13800000109","Jingan","2024-06-04","2026-02-25"
"CUST000110","Female","34","100299","1","Bronze","Weekly","Beauty & Cosmetics","49","19659","customer110@example.com","13800000110","Xuhui","2024-01-19","2026-03-09"
"CUST000111","Male","50","119438","5","Bronze","Weekly","Fashion","44","105105","customer111@example.com","13800000111","Xuhui","2024-08-21","2026-03-02"
"CUST000112","Male","30","48926","4","Silver","Biweekly","Food & Dining","35","27399","customer112@example.com","13800000112","Xuhui","2023-08-23","2026-02-28"
"CUST000113","Male","62","72794","1","Gold","Rarely","Electronics","3","874","customer113@example.com","13800000113","Jingan","2023-05-03","2026-02-20"
"CUST000114","Female","27","83893","5","Bronze","Monthly","Food & Dining","18","30201","customer114@example.com","13800000114","Pudong","2025-01-19","2026-03-01"
"CUST000115","Male","27","57422","1","Platinum","Weekly","Fashion","65","14930","customer115@example.com","13800000115","Pudong","2024-02-10","2026-02-16"
"CUST000116","Male","33","58563","1","Platinum","Monthly","Entertainment","17","3982","customer116@example.com","13800000116","Minhang","2024-01-14","2026-02-21"
"CUST000117","Male","21","119709","4","Bronze","Monthly","Books & Stationery","12","22984","customer117@example.com","13800000117","Xuhui","2024-02-08","2026-02-22"
"CUST000118","Female","62","49797","5","Platinum","Quarterly","Food & Dining","7","6972","customer118@example.com","13800000118","Pudong","2023-12-24","2026-03-10"
"CUST000119","Male","43","39267","4","Bronze","Rarely","Fashion","3","1885","customer119@example.com","13800000119","Xuhui","2025-02-05","2026-02-22"
"CUST000120","Female","40","85722","4","Platinum","Monthly","Books & Stationery","10","13716","customer120@example.com","13800000120","Huangpu","2025-01-08","2026-02-21"
"CUST000121","Male","58","70232","1","Gold","Monthly","Food & Dining","10","2809","customer121@example.com","13800000121","Huangpu","2025-03-14","2026-03-06"
"CUST000122","Female","20","75211","4","Platinum","Quarterly","Sports & Outdoors","5","6017","customer122@example.com","13800000122","Pudong","2023-05-14","2026-02-21"
"CUST000123","Male","40","242057","1","Bronze","Rarely","Entertainment","2","1936","customer123@example.com","13800000123","Xuhui","2024-05-19","2026-02-15"
"CUST000124","Male","26","65107","4","Silver","Monthly","Entertainment","13","13542","customer124@example.com","13800000124","Minhang","2024-06-02","2026-03-13"
"CUST000125","Male","40","149781","3","Silver","Quarterly","Electronics","8","14379","customer125@example.com","13800000125","Jingan","2024-06-23","2026-02-21"
"CUST000126","Male","26","126352","2","Gold","Monthly","Food & Dining","13","13141","customer126@example.com","13800000126","Pudong","2025-02-11","2026-03-02"
"CUST000127","Male","25","142087","5","Silver","Weekly","Food & Dining","77","218814","customer127@example.com","13800000127","Pudong","2023-12-24","2026-03-03"
"CUST000128","Male","24","63309","2","Gold","Weekly","Beauty & Cosmetics","68","34440","customer128@example.com","13800000128","Huangpu","2025-04-05","2026-03-05"
"CUST000129","Female","39","78077","3","Gold","Rarely","Books & Stationery","1","937","customer129@example.com","13800000129","Changning","2023-01-16","2026-02-20"
"CUST000130","Female","42","59826","1","Platinum","Rarely","Fashion","1","239","customer130@example.com","13800000130","Jingan","2023-03-05","2026-02-20"
"CUST000131","Female","44","32740","1","Bronze","Rarely","Fashion","3","393","customer131@example.com","13800000131","Xuhui","2024-08-07","2026-03-01"
"CUST000132","Female","37","92909","5","Bronze","Weekly","Electronics","43","79902","customer132@example.com","13800000132","Changning","2023-10-22","2026-02-17"
"CUST000133","Female","66","164588","2","Bronze","Quarterly","Food & Dining","5","6584","customer133@example.com","13800000133","Changning","2023-07-03","2026-03-11"
"CUST000134","Female","65","160327","5","Platinum","Biweekly","Sports & Outdoors","39","125055","customer134@example.com","13800000134","Huangpu","2024-11-12","2026-02-28"
"CUST000135","Male","28","95249","1","Gold","Rarely","Books & Stationery","1","381","customer135@example.com","13800000135","Xuhui","2023-12-23","2026-03-11"
"CUST000136","Female","50","63562","1","Bronze","Weekly","Electronics","56","14238","customer136@example.com","13800000136","Changning","2023-08-14","2026-02-20"
"CUST000137","Male","33","34020","5","Platinum","Quarterly","Beauty & Cosmetics","4","2722","customer137@example.com","13800000137","Huangpu","2024-09-16","2026-02-24"
"CUST000138","Male","47","57977","3","Silver","Rarely","Books & Stationery","3","2087","customer138@example.com","13800000138","Minhang","2024-10-14","2026-02-28"
"CUST000139","Male","45","45250","4","Bronze","Biweekly","Sports & Outdoors","28","20272","customer139@example.com","13800000139","Changning","2023-05-02","2026-03-02"
"CUST000140","Male","22","87601","2","Gold","Monthly","Food & Dining","12","8410","customer140@example.com","13800000140","Jingan","2023-04-02","2026-03-05"
"CUST000141","Female","44","40344","3","Bronze","Monthly","Sports & Outdoors","14","6778","customer141@example.com","13800000141","Pudong","2025-06-14","2026-03-09"
"CUST000142","Male","19","243657","3","Platinum","Rarely","Entertainment","3","8772","customer142@example.com","13800000142","Minhang","2025-01-18","2026-02-15"
"CUST000143","Male","30","55396","2","Gold","Weekly","Fashion","49","21715","customer143@example.com","13800000143","Minhang","2025-09-09","2026-02-23"
"CUST000144","Female","50","92701","2","Gold","Quarterly","Electronics","4","2966","customer144@example.com","13800000144","Jingan","2023-10-22","2026-02-20"
"CUST000145","Male","20","88228","2","Platinum","Quarterly","Fashion","4","2823","customer145@example.com","13800000145","Changning","2024-10-15","2026-03-08"
"CUST000146","Male","65","64479","1","Silver","Weekly","Beauty & Cosmetics","52","13412","customer146@example.com","13800000146","Minhang","2023-05-18","2026-03-01"
"CUST000147","Female","28","97742","3","Bronze","Weekly","Books & Stationery","67","78585","customer147@example.com","13800000147","Pudong","2023-02-24","2026-02-16"
"CUST000148","Male","33","53126","1","Platinum","Biweekly","Entertainment","33","7013","customer148@example.com","13800000148","Jingan","2023-04-05","2026-03-02"
"CUST000149","Female","30","72945","1","Platinum","Monthly","Home & Living","15","4377","customer149@example.com","13800000149","Changning","2025-04-26","2026-03-12"
"CUST000150","Male","24","289684","3","Gold","Rarely","Books & Stationery","3","10429","customer150@example.com","13800000150","Huangpu","2025-11-24","2026-02-23"
"CUST000151","Female","19","35143","1","Gold","Biweekly","Entertainment","34","4779","customer151@example.com","13800000151","Huangpu","2023-05-11","2026-02-19"
"CUST000152","Female","32","31987","4","Silver","Weekly","Home & Living","67","34290","customer152@example.com","13800000152","Jingan","2025-04-11","2026-03-08"
"CUST000153","Female","59","78762","3","Gold","Monthly","Fashion","10","9451","customer153@example.com","13800000153","Minhang","2025-10-14","2026-02-20"
"CUST000154","Male","32","233175","5","Gold","Quarterly","Books & Stationery","4","18654","customer154@example.com","13800000154","Xuhui","2024-12-18","2026-02-22"
"CUST000155","Female","34","43458","4","Bronze","Monthly","Food & Dining","19","13211","customer155@example.com","13800000155","Changning","2024-12-24","2026-02-14"
"CUST000156","Female","20","245239","3","Bronze","Monthly","Beauty & Cosmetics","17","50029","customer156@example.com","13800000156","Huangpu","2023-10-02","2026-02-13"
"CUST000157","Male","33","111767","4","Bronze","Weekly","Home & Living","48","85837","customer157@example.com","13800000157","Changning","2023-08-14","2026-02-25"
"CUST000158","Female","30","65857","5","Silver","Biweekly","Books & Stationery","34","44783","customer158@example.com","13800000158","Pudong","2025-04-20","2026-03-04"
"CUST000159","Male","36","78090","1","Bronze","Biweekly","Beauty & Cosmetics","23","7184","customer159@example.com","13800000159","Xuhui","2023-03-23","2026-03-09"
"CUST000160","Male","44","95735","1","Platinum","Weekly","Sports & Outdoors","76","29103","customer160@example.com","13800000160","Huangpu","2023-12-11","2026-03-10"
"CUST000161","Male","39","22281","1","Silver","Rarely","Home & Living","3","267","customer161@example.com","13800000161","Minhang","2023-05-01","2026-02-21"
"CUST000162","Female","25","110723","5","Gold","Quarterly","Books & Stationery","8","17716","customer162@example.com","13800000162","Changning","2025-12-16","2026-02-21"
"CUST000163","Female","37","73569","2","Bronze","Monthly","Books & Stationery","15","8828","customer163@example.com","13800000163","Changning","2023-01-14","2026-03-01"
"CUST000164","Female","60","242965","3","Silver","Monthly","Beauty & Cosmetics","10","29156","customer164@example.com","13800000164","Xuhui","2024-03-12","2026-02-21"
"CUST000165","Male","26","33838","4","Silver","Rarely","Books & Stationery","2","1083","customer165@example.com","13800000165","Xuhui","2023-03-13","2026-02-27"
"CUST000166","Male","21","39822","1","Platinum","Monthly","Electronics","11","1752","customer166@example.com","13800000166","Jingan","2025-07-27","2026-02-16"
"CUST000167","Male","28","139737","4","Platinum","Monthly","Entertainment","10","22358","customer167@example.com","13800000167","Huangpu","2025-04-05","2026-03-13"
"CUST000168","Female","34","81253","1","Silver","Monthly","Electronics","10","3250","customer168@example.com","13800000168","Xuhui","2024-06-03","2026-02-26"
"CUST000169","Male","21","189519","2","Silver","Rarely","Fashion","2","3032","customer169@example.com","13800000169","Xuhui","2025-11-20","2026-02-13"
"CUST000170","Female","26","139609","3","Silver","Monthly","Sports & Outdoors","14","23454","customer170@example.com","13800000170","Xuhui","2024-07-23","2026-02-15"
"CUST000171","Female","28","41113","4","Bronze","Rarely","Electronics","3","1973","customer171@example.com","13800000171","Xuhui","2024-10-10","2026-02-22"
"CUST000172","Female","58","74207","3","Platinum","Weekly","Books & Stationery","61","54320","customer172@example.com","13800000172","Xuhui","2025-05-24","2026-02-22"
"CUST000173","Female","27","86107","4","Platinum","Weekly","Beauty & Cosmetics","50","68886","customer173@example.com","13800000173","Xuhui","2023-02-23","2026-03-13"
"CUST000174","Female","47","149309","2","Platinum","Monthly","Beauty & Cosmetics","12","14334","customer174@example.com","13800000174","Pudong","2024-03-15","2026-03-13"
"CUST000175","Female","25","71890","1","Silver","Rarely","Food & Dining","2","575","customer175@example.com","13800000175","Minhang","2024-05-25","2026-03-05"
"CUST000176","Female","39","117914","2","Platinum","Monthly","Sports & Outdoors","13","12263","customer176@example.com","13800000176","Minhang","2024-05-27","2026-02-24"
"CUST000177","Female","29","139434","1","Gold","Biweekly","Fashion","35","19521","customer177@example.com","13800000177","Pudong","2024-03-13","2026-03-03"
"CUST000178","Male","30","76619","3","Silver","Rarely","Electronics","3","2758","customer178@example.com","13800000178","Changning","2023-07-15","2026-03-02"
"CUST000179","Male","68","47204","5","Silver","Quarterly","Entertainment","6","5664","customer179@example.com","13800000179","Minhang","2025-07-23","2026-02-16"
"CUST000180","Male","33","29254","2","Silver","Biweekly","Food & Dining","21","4915","customer180@example.com","13800000180","Xuhui","2025-02-13","2026-02-28"
"CUST000181","Female","27","144481","2","Gold","Quarterly","Beauty & Cosmetics","5","5779","customer181@example.com","13800000181","Jingan","2024-08-03","2026-03-02"
"CUST000182","Female","27","140750","3","Platinum","Biweekly","Beauty & Cosmetics","33","55737","customer182@example.com","13800000182","Jingan","2025-06-05","2026-03-09"
"CUST000183","Female","41","285771","5","Silver","Weekly","Fashion","72","411510","customer183@example.com","13800000183","Minhang","2024-07-12","2026-02-26"
"CUST000184","Male","24","59431","4","Platinum","Biweekly","Home & Living","30","28527","customer184@example.com","13800000184","Changning","2023-04-05","2026-03-11"
"CUST000185","Female","20","78387","2","Bronze","Biweekly","Beauty & Cosmetics","40","25084","customer185@example.com","13800000185","Changning","2023-07-03","2026-03-11"
"CUST000186","Female","29","72319","2","Platinum","Weekly","Books & Stationery","57","32977","customer186@example.com","13800000186","Minhang","2023-07-11","2026-02-21"
"CUST000187","Male","21","44188","3","Silver","Quarterly","Fashion","8","4242","customer187@example.com","13800000187","Huangpu","2024-10-05","2026-03-10"
"CUST000188","Male","25","126703","5","Silver","Biweekly","Fashion","37","93760","customer188@example.com","13800000188","Huangpu","2023-09-05","2026-02-22"
"CUST000189","Male","43","83247","2","Gold","Quarterly","Entertainment","5","3330","customer189@example.com","13800000189","Changning","2024-07-15","2026-02-20"
"CUST000190","Male","27","58273","4","Silver","Quarterly","Sports & Outdoors","5","4662","customer190@example.com","13800000190","Pudong","2025-08-24","2026-02-24"
"CUST000191","Female","37","43685","3","Gold","Biweekly","Sports & Outdoors","28","14678","customer191@example.com","13800000191","Changning","2023-03-28","2026-02-28"
